"filename", "language", "TypeScript", "TypeScript JSX", "JSON with Comments", "JSON", "JavaScript", "XML", "HTML", "PostCSS", "Log", "Markdown", "Shell Script", "MS SQL", "comment", "blank", "total"
"/Users/harleywilliams/websites/NTS Ltd website/nts-website/public/globe.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/harleywilliams/websites/NTS Ltd website/nts-website/public/next.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/harleywilliams/websites/NTS Ltd website/nts-website/public/sitemap.xml", "XML", 0, 0, 0, 0, 0, 95, 0, 0, 0, 0, 0, 0, 9, 17, 121
"/Users/harleywilliams/websites/NTS Ltd website/nts-website/public/vercel.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/harleywilliams/websites/NTS Ltd website/nts-website/public/window.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/harleywilliams/websites/NTS Ltd website/nts-website/src/app/about/page.tsx", "TypeScript JSX", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 21
"/Users/harleywilliams/websites/NTS Ltd website/nts-website/src/app/admin/careers/[id]/edit/page.tsx", "TypeScript JSX", 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 45
"/Users/harleywilliams/websites/NTS Ltd website/nts-website/src/app/admin/careers/applications/[id]/page.tsx", "TypeScript JSX", 0, 153, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 169
"/Users/harleywilliams/websites/NTS Ltd website/nts-website/src/app/admin/careers/applications/page.tsx", "TypeScript JSX", 0, 161, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 174
"/Users/harleywilliams/websites/NTS Ltd website/nts-website/src/app/admin/careers/new/page.tsx", "TypeScript JSX", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 21
"/Users/harleywilliams/websites/NTS Ltd website/nts-website/src/app/admin/careers/page.tsx", "TypeScript JSX", 0, 159, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 166
"/Users/harleywilliams/websites/NTS Ltd website/nts-website/src/app/admin/contact-submissions/page.tsx", "TypeScript JSX", 0, 205, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 16, 222
"/Users/harleywilliams/websites/NTS Ltd website/nts-website/src/app/admin/dashboard/page.tsx", "TypeScript JSX", 0, 296, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 27, 338
"/Users/harleywilliams/websites/NTS Ltd website/nts-website/src/app/admin/email-log/page.tsx", "TypeScript JSX", 0, 238, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14, 255
"/Users/harleywilliams/websites/NTS Ltd website/nts-website/src/app/admin/layout.tsx", "TypeScript JSX", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 21
